locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T03:45:00+00:00,2021-09-30T09:15:00+05:30,pm25,46,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T03:00:00+00:00,2021-09-30T08:30:00+05:30,pm10,99,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T03:00:00+00:00,2021-09-30T08:30:00+05:30,pm25,36,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T02:30:00+00:00,2021-09-30T08:00:00+05:30,pm10,99,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T02:30:00+00:00,2021-09-30T08:00:00+05:30,pm25,36,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T02:15:00+00:00,2021-09-30T07:45:00+05:30,pm10,99,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T02:15:00+00:00,2021-09-30T07:45:00+05:30,pm25,36,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T01:30:00+00:00,2021-09-30T07:00:00+05:30,pm25,27,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T01:30:00+00:00,2021-09-30T07:00:00+05:30,pm10,75,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T01:00:00+00:00,2021-09-30T06:30:00+05:30,pm10,6,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T00:45:00+00:00,2021-09-30T06:15:00+05:30,pm10,6,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T00:00:00+00:00,2021-09-30T05:30:00+05:30,pm10,89,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-29T23:30:00+00:00,2021-09-30T05:00:00+05:30,pm10,89,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-29T23:15:00+00:00,2021-09-30T04:45:00+05:30,pm10,89,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-29T21:00:00+00:00,2021-09-30T02:30:00+05:30,pm10,113,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-29T20:45:00+00:00,2021-09-30T02:15:00+05:30,pm10,113,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-29T20:00:00+00:00,2021-09-30T01:30:00+05:30,pm25,241,µg/m³,28.647622,77.315809
